DOCID,LEWISSPLIT,DATE,TOPICS,TITLE,BODY
4011,TRAIN,11-MAR-1987 18:26:24.22,[],faster test for sickle cell anemia developed,a team of california researchers said that they have developed a better faster test for detecting sickle cell anemia in unborn children than existing procedures the test developed by cetus corp ctus researchers requires only a small amount of genetic material from a fetus and produces a diagnosis within a day unlike other tests that require several days and can only be done in a few specialized centers they said sickle cell anemia is a painful inherited blood disease that causes the normallyflexible red blood cells to stiffen into a sicklelike shape it is primarily found in blacks the researchers said in the new england journal of medicine that their procedure promises to be a rapid sensitive and reliable method for the prenatal diagnosis of sickle cell disease in addition they said the technique might also be adapted to detect other types of genetic disease reuter
4012,TRAIN,11-MAR-1987 18:36:05.15,['earn'],bank of british columbia 1st qtr jan 31 net,oper shr loss two cts vs profit three cts oper net profit 273000 dlrs vs profit 1710000 year period ended october 31 1986 oper shr loss 23 cts vs profit 14 cts oper net loss 4397000 vs profit 7527000 assets 267 billion vs 325 billion note 1987 1st qtr net excludes extraordinary loss of 22 mln dlrs or six cts shr 1986 yr net excludes extraordinary loss of 66 mln dlrs or 194 dlrs shr involving 221 mln dlrs of costs from sale of bank assets to hongkong bank of canada eight mln dlrs for contingent liabilities in respect of litigation and potential tax reassessment by us govt and 359 mln dlrs of deferred tax debits most bank assets sold to hongkong bank of canada a unit of hong kong and shanghai banking corp in nov 1986 shr after preferred divs reuter
4013,TRAIN,11-MAR-1987 18:37:48.60,[],ran scandal participant to get immunity offer,albert hakim an arms merchant is the first topranked player in the iran arms scandal who may be enticed into testifying by the promise of immunity investigators said the house select committee probing the iran arms scandal has voted to grant limited immunity from criminal prosecution to hakim in return for his testimony hakim 51 was said deeply involved from the start in the attempt to trade arms to iran for help in freeing american hostages in lebanon and the diversion of funds and arms to rebels in nicaragua reuter
4014,TRAIN,11-MAR-1987 18:38:02.32,['earn'],restaurant associates inc ra 4th qtr jan 3,shr 25 cts vs 36 cts net 14 mln vs 14 mln revs 569 mln vs 351 mln year shr 86 cts vs 75 cts net 47 mln vs 30 mln revs 2014 mln vs 1400 mln note1985 4th qtr includes 99000 loss from carryforward shares restated to give effect to 14 to one stock split in the form a 40 pct class a dividend in august 1985 reuter
4015,TRAIN,11-MAR-1987 18:41:59.82,['earn'],michigan general corp mgl 4th qtr,shr loss 102 dlrs vs 101 dlr net loss 181 mln vs 114 mln revs 960 mln vs 903 mln year shr loss 265 dlrs vs loss 306 dlrs net loss 393 mln vs 346 mln revs 3860 mln vs 3730 mln note1986 4th qtr year loss includes 144 mln dlrs 46 mln dlrs respectively from discontinued 1985 4th qtr and year include loss of 131 mln 19 mln dlr respectively reuter
4016,TRAIN,11-MAR-1987 18:45:36.66,"['crude', 'nat-gas', 'iron-steel']",usx x proved oil gas reserves fall in 1986,usx corp said proved reserves of oil and natural gas liquids fell 28 pct to 8028 mln barrels at the end of 1986 from 112 billion barrels at yearend 1985 the figures in usxs justreleased 1986 annual report indicate much of the drop resulted from the exclusion of 2937 mln barrels of libyan reserves after the us government last june directed us oil companies to end libyan operations usx which owns marathon oil co and texas oil and gas corp had 60 pct of its 1986 sales of 1494 billion dlrs from its oil and gas operations about 24 pct of total sales came from usxs uss steel unit and 16 pct from diversified businesses which include oilfield services raw materials minerals chemicals and real estate according to the report domestic liquids reserves fell slightly to 6285 mln barrels from 6289 mln and foreign reserves fell to 1743 mln from 4864 mln barrels the large drop in foreign reserves was in the middle east and africa where they fell to about 93 mln barrels from 3167 mln reflecting the exclusion of libya total natural gas reserves fell to 482 trillion cubic feet at yearend 1986 from 518 trillion at the end of 1985 again most of the drop came from the middle east and africa where reserves fell to zero from 719 billion cubic feet excluding libyan reserves us natural gas reserves fell to 344 trillion cubic feet from 365 trillion and foreign reserves fell to 138 trillion from 153 trillion in other areas usx said total capital spending fell to 962 mln dlrs in 1986 from 178 billion dlrs in 1985 the 1986 audited figure is eight mln dlrs higher than the unaudited figure the company reported on jan 27 usx also said it expects to record a gain of 150 mln dlrs in 1988 representing 50 pct of previously existing investment tax credits allowable under the new tax law the loss of the other half of the credits was reflected in the fourth quarter in a discussion of steel results usx said plants that were shut down last month and some previously idled plants may be permanently closed usx took a fourth quarter charge of 103 billion dlrs to restructure its steel operations the charge included the indefinite idling last month of four plants in utah pennsylvania and texas other plants or parts of plants in pennsylvania indiana alabama ohio and chicago had been previously idled these operations are not permanently shut down improved market conditions for the products from these plants may make it feasible to reopen some of them usx said in the report on the other hand a lack of any future market improvement may necessitate their permanent closing it added reuter
4017,TRAIN,11-MAR-1987 18:50:05.96,[],phillipsp says stock up on steps to pare debt,phillips petroleum co chairman c j pete silas said his companys stock ranked fourth on the most active list of stocks traded today rose partly because of steps it took to pare its debt silas told reuters in an interview today part of this strength results from the rise in oil prices and also because some of the analysts have been happy with the steps weve taken in 1986 to pare our debt phillips stocks rose 14 to 14 dlrs a share following recommendations by some oil analysts a company source said phillips debt stood at 59 billion dlrs in december 1986 down from a 1985 high of 86 billion dlrs analysts said at 14 dlrs a share phillips is priced closer to the actual price of oil he added silas said if the analysts are right that oil prices will rise to 20 dlrs or higher then it seems to make sense to buy phillips he is however more cautious about the strength in crude prices expecting the price to fluctuate between 1618 dlrs a barrel for the year oil industry analysts said one reason for the stocks popularity of the stock is that it traded at a strong discount to its appraised value and was attractively priced for small investors charles andrew an analyst who follows phillips for john s herold inc of greenwich conn said that the appraised value of the company based on available data is 3425 dlrs the stock is trading at about 13 its appraised value the company has tremendous leverage and if it can get its act together and if oil prices are steady to higher there is good room for improvement he said but he added if oil prices turn lower there will be a lot of pressure on phillips phillips shares fell as low as eight dlrs a share over the last 52 weeks with a 1987 low of 1134 dlrs in 1987 analysts say that the appraised value of the company could be revised due to asset sales of their oil and gas reserves silas told reuters that the asset sales which amount to about two billion dlrs for 1986 were completed and that none were planned reuter
4018,TRAIN,11-MAR-1987 18:50:57.36,[],michigan general mgl begins exchange offer,michigan general corp said it began an exchange offer for its 110 mln dlrs outstanding principal amount of 1034 pct senior subordinated debentures due december 1 1998 pursuant to the exchange offer each 1000 dlr principal amount will receive 500 dlr principal amount of senior subordinated notes due march 1 1992 200 dlr principal amount of noninterest bearing convertible senior subordainted notes due march 1 1997 and 12 shares of delayed convertible preferred stock liquidation preference 25 dlrs per share the offer will expire april nine michigan general said the exchange offer is crucial to is attempt to restructure and reduce its risk from chapter 11 the principal purpose of the offer is to reduce its debt service on the 1034 pct debetures increase stockholders equity and induce its lender to continue to fund assuming a 90 pct acceptance of the offer michigans annual cash interest requirements will be reduced by about 106 mln dlrs it said completion is subject to the tender of at least 90 pct of the debentures and its lender to waive it from default under its loan agreements reuter
4019,TRAIN,11-MAR-1987 18:53:18.49,['earn'],bank of bc revises share payout estimate,bank of british columbia said it revised its estimate of shareholder distributions from last novembers sale of most of the banks assets to hongkong bank of canada to between 65 cts and 115 dlrs a share from 55 cts to 120 dlrs a share the bank said the estimate could rise to between 130 dlrs and 180 dlrs a share if the full pension surplus is obtained it said it did not know when distributions would be made it earlier reported that operating profit for first quarter ended january 31 fell to 273000 dlrs from 17 mln dlrs the previous year for fullyear 1986 ended october 31 the bank posted an operating loss of 44 mln dlrs against yearearlier profit of 75 mln dlrs the bank also posted a 66 mln dlr extraordinary loss in fiscal 1986 bank of british columbia sold most of its assets last november to hongkong bank canada a unit of hongkong and shanghai banking corp of hong kong for 635 mln dlrs it said efforts to wind up the banks affairs were proceeding as quickly as possible the bank said it expected to report positive earnings in future periods barring unforeseen circumstances loan losses which the bank previously said figured in its move to sell off most of its assets rose to 1057 mln dlrs in fiscal 1986 from yearearlier 361 mln dlrs the bank said 311 mln dlrs of the 1986 total represented downward adjustments to its portfolio of syndicated sovereign risk loans as required under the sale to hongkong bank since november 27 the bank has confined activities to the winding up of affairs bank of british columbia said reuter
4020,TRAIN,11-MAR-1987 18:54:46.18,[],house votes to block contra aid for six months,the house voted to block 40 mln dlrs in military aid to the nicaraguan rebels until president reagan accounts for past assistance including money diverted from the us sale of arms to iran the vote was seen as a temporary defeat for reagan who has made aid to the contras a key initiative congressional democratic leaders have conceded that despite todays vote they can not muster a twothirds majority to override a certain reagan veto but they have said it is likely they can win a battle expected this fall over 105 mln dlrs iin new aid reagan is requesting reuter
4021,TRAIN,11-MAR-1987 18:56:34.21,['earn'],kiena gold mines ltd 4th qtr net,shr 17 cts vs 16 cts net 1019000 vs 985000 revs 7997000 vs 7492000 year shr 118 dlrs vs 64 cts net 6959000 vs 3778000 revs 365 mln vs 298 mln reuter
4022,TRAIN,11-MAR-1987 18:56:43.55,"['carcass', 'livestock']",argentine meat exports higher in janfeb 1987,argentine meat exports during janfeb 1987 totalled 39714 tonnes against 36594 tonnes shipped in the same 1986 period national meat board said shipments in tonnes with comparative figures for the 1986 period in brackets included beef 26945 20096 horse meat 3257 4211 and beef offal 7660 10502 argentines meat exports totalled 20243 tonnes in february 1987 against 19217 tonnes shipped in the same 1986 month shipments in tonnes with comparative figures for february 1986 in brackets included beef 13272 11464 horse meat 1543 2083 and beef offal 4476 4672 the board added main destinations for refrigerated beef bone in equivalent were as follows in tonnes with comparative figures for 1986 in brackets ec 5500 7900 brazil 5200 unavailable israel 3700 3000 peru 2500 800 singapore 500 300 switzerland 500 400 canary islands 500 300 malta 500 700 arubacurazao 200 300 chile 100 600 main destinations for canned meat and cooked beef bone in equivalent in tonnes with comparative figures for janfeb 1986 in brackets were united states 11200 13400 ec 4700 5100 reuter
4023,TRAIN,11-MAR-1987 19:02:33.14,['earn'],kiena plans twoforone stock split,kiena gold mines ltd said it planned a twoforone common stock split pending shareholder approval on april 7 it said approval would require 6623 pct of votes cast kiena said 57 pctowner campbell red lake mines ltd crk was expected to vote in favor of the split reuter
4024,TRAIN,11-MAR-1987 19:04:31.39,[],vanzetti vanz increase of shares approved,vanzetti systems inc said its shareholders approved increasing the number of authorized shares to five mln from three mln shareholders also approved increasing the number of shares reserved for options to employees to 300000 from 150000 reuter
4025,TRAIN,11-MAR-1987 19:04:38.26,['earn'],rowe furniture corp rowe sets qtly dividend,qtly div four cts vs four cts prior pay april 15 record march 20 reuter
4026,TRAIN,11-MAR-1987 19:05:21.41,['trade'],us house panel takes first trade bill votes,house trade lawmakers took their first votes on measures designed to toughen us trade laws but held over until tomorrow the most difficult votes on controversial plans to protect american industries meeting in closed session the house ways and means trade subcommittee failed to resolve one of the most sensitive issues in the billwhether they will force major foreign trading partners to severely cut their trade surpluses with the united states the subcommittee is considering a toneddown version of democraticsponsored trade legislation that aims to open foreign markets but which drops last years effort to force president reagan to retaliate with quotas or tariffs congressional aides who asked not to be identified said the lawmakers intend to wrap up their proposals tomorrow and will consider a proposal to mandate retaliation without setting specific trade penalties the legislation faces another hurdle in the full ways and means committee next week before the full house votes on it rep richard gephardt a missouri democrat who is seeking his partys 1988 presidential nomination said he may offer an amendment to call for reductions in the trade surpluses of those countries with barriers to imports of us goods this would be a moderated version of his earlier plan to force a mandatory ten per cent annual cut in the trade surplus with the united states by japan south korea taiwan west germany and other countries with the largest trade imbalances my criteria for a good amendment sets a standard for getting the trade deficit down he told reporters the trade law changes are to become part of a major congressional and administration effort to turn around the record us trade deficit of 169 billion dlrs last year by opening up foreign markets and making us products more competitive house speaker james wright a texas democrat said again today he expects the full house will approve the trade bill by may and that reagan will accept the final congressional bill i expect whatever is reported by the ways and means committee will pass we will have a good bill and an effective bill he told reporters the comprehensive trade bill will include work by other committees to ease export controls on high technology to aid us workers displaced by foreign competition to stimulate research and development to remove foreign trade barriers and to improve education and worker training the lawmakers agreed that for the first time a us industry could charge foreign producers with unfair competition if they deny basic worker rights such as collective bargaining safety rules and payment of a minimum wage appropriate to the countrys economic development they transferred to us trade representative clayton yeutter the powers now held by reagan to decide whether to retaliate against foreign violations of fair trade rules and whether an injured industry deserves import relief they agreed to make it easier for a company to get temporary relief from import competition but agreed the industry should provide a plan to become competitive the administration has not announced its support but yeutter said yesterday i am cautiously optimistic that the democraticled house will come up with an acceptable bill reuter
4027,TRAIN,11-MAR-1987 19:06:36.56,['trade'],soviet minister says trade boost up to french,soviet first deputy prime minister vsevolod murakhovsky said at the end of a brief visit here his country wanted to boost joint business with france but that a reduction of frances trade deficit with the soviet union depended on the french murakhovsky who is also chairman of the state agroindustrial committee gosagroprom told a news conference he had discussed a variety of possible deals with french companies rhonepoulenc pechiney and imec declining to put figures on possible contracts he said he had discussed plant protection and the processing of highly sulphuric gas with rhonepoulenc packaging technology for agricultural products with pechiney and fruit and vegetable juice processing with imec an official for pechiney said an agreement of intent on packaging could be signed soon but could not give any other details the other two companies were not immediately available for comment asked whether he foresaw a reduction this year of frances trade shortfall at 76 billion francs in the first 11 months of 1986 against 51 billion for the whole of 1985 murakhovsky told reuters it all depends on france at a meeting in paris last january french and soviet foreign trade ministers said they were committed to increased efforts to reduce the deficit estimates at the time showed a french 190 mln franc surplus for december 1986 murakhovsky said the soviet union was prepared to talk with anybody with interesting proposals offering latest technology and assuring a mutual advantage he said the soviet union had many tasks ahead of it and would deal rapidly with proposals it considered interesting he encouraged companies to take advantage of new laws guaranteeing the interests of foreign partners in joint ventures but he said no agreements had yet been finalised under the new joint venture laws he said concrete deals had not yet been finalised as a result of a one billion dollar accord signed in moscow last month with french businessman jeanbaptiste doumeng he said doumengs interagra company was preparing proposals for further examination by the soviet union doumeng last month said the agreement was to exchange one billion dollars worth of goods murakhovsky said the agreement was one of intent and designed primarily to renew and increase the soviet unions food production capacity reuter
4028,TRAIN,11-MAR-1987 19:09:27.77,['crude'],venezuela to lend oil to ecuador for export,venezuela will supply ecuador with an as yet undetermined amount of crude oil to help it meet export commitments seriously affected by last weeks earthquake energy and mines minister arturo hernandez grisanti said he gave few details about the deal but said a crude oil loan agreement will be made between state oil companies petroleos de venezuela pdvsa and ecuadors cepe ecuador was forced to suspend oil exports for an expected four months after an earthquake damaged a pipeline oil accounts for 60 per cent of its export income hernandez was speaking to reporters at miraflores palace on the results of talks with ecuadors deputy energy minister fernando santos alvite who arrived here last night the volume lent to ecuador would be discounted from its opec quota and would not affect venezuelas he said we would from august on produce our own quota and sell the additional amounts that ecuador would be repaying us he said he did not elaborate on the quota arrangements but did say ecuador would notify opec by telex that venezuela would be lending it a certain amount over so many days venezuelas opec output quota is currently 1495 million barrels a day and ecuadors has been set at 210000 bpd reuter
4029,TRAIN,11-MAR-1987 19:10:26.95,['earn'],eagle clothes inc egl 2nd qtr jan 31,shr profit 17 cts vs profit 14 cts net profit 13 mln vs profit 901000 revs 369 mln vs 362 mln six months shr profit 18 cts vs loss 11 cts net profit 14 mln vs loss 716000 revs 636 mln vs 577 mln note1986 six months includes increase in provision for doubtful accounts to 15 mln dlrs 1986 shares give effect to issuance of 15 mln shares in exchange for outstanding series 1 preferred shares reuter
4030,TRAIN,11-MAR-1987 19:11:19.94,[],iraq says iran attack repulsed on southern front,iraq said it had repelled an iranian attack on positions held by its fourth army corps east of the southern iraqi town of amarah on the baghdadbasra highway a baghdad war communique said an iranian infantry brigade backed by tanks launched the overnight attack and fierce fighting raged for more than six hours before iranian troops fled the battlefield leaving 220 men killed and many wounded no major battles have been reported fought by the fourth army corps for more than a year in the area mainly swamplands of the hawizah marshes running eastward to the southern port city of basra reuter
4031,TRAIN,11-MAR-1987 19:15:32.68,['trade'],britain calls on japan to increase imports,britain today called on japan to increase foreign imports or risk the rise of protectionism and the harm it would bring to it and other trading nations british trade and industry secretary paul channon said japan must heed a report issued by a japanese government advisory body in december calling for faster domestic demand to help cut its trade surplus and restructure its economy i recognise that the strong yen has brought problems to japans domestic economy he told a group of japanese businessmen in london but these short term difficulties should not be allowed to deflect japan from the fundamental reforms necessary he said it is not just a domestic issue for japan if import propensity does not expand very soon there is a real risk from protectionist lobbies particularly in the us with whom japan has so massive a surplus he said they may well succeed in securing action by governments which would be highly injurious to trading nations like japan and the uk channon said there had been substantial growth in the volume of trade between japan and britain amounting to 62 billion sterling 98 billion dlrs last year but he added regrettably too much of it was in one direction with the japanese selling us 37 billion sterling 58 billion dlrs more than we sold them reuter
4032,TRAIN,11-MAR-1987 19:15:55.25,['acq'],taft broadcasting rejects 145 dlr per share buyout offer from theta corp,
4033,TRAIN,11-MAR-1987 19:18:49.58,['acq'],taft tfb rejects 145 dlrshr offer,taft braodacasting co said its board of directors unanimously decided not to accept the pending proposal of theta corp an investor group led by dudley taft the decision was based on among other things the advise of its financial advisors goldman sachs and co that the offer of 145 dlrs per share was inadequate taft said the board concluded that the offer failed to recognize fully the future propsects of the company and directed management to explore alternatives including possible financial restructuring reuter
4034,TRAIN,11-MAR-1987 19:23:42.46,[],ecuador debt to be honoured after quake survival,ecuador stricken by a severe earthquake will honour its 816 billion dlr foreign debt but only after ensuring the survival of the country after the tremor which claimed at least 300 lives and caused 4000 persons to disappear the governments position is to permit us to honour the debt commitments but without sacrificing the country because first we have to survive and later we can comply information minister marco lara told reuters he said the nation would later announce definitive measures on the foreign debt in the aftermath of the earthquake which the government said will cause nearly a billion dlrs in economic losses reuter
4035,TRAIN,11-MAR-1987 19:26:43.72,['veg-oil'],british minister criticises proposed ec oils tax,a british minister said that a proposed european community tax on vegetable oils and fats would raise the price of fish and chips and he pledged the government would fight against it lord belstead a junior agriculture minister told the house of lords the tax would raise the price of raw materials used in many processed foods by about 100 pct he said revenue should not be raised by taxing the consumer and called the proposal repugnant reuter
4036,TRAIN,11-MAR-1987 20:04:55.06,['jobs'],australian unemployment eases in february,australias seasonallyadjusted unemployment rate eased to 82 pct of the estimated workforce in february from 83 pct in january compared with 79 pct a year earlier the statistics bureau said the number of unemployed declined to 632100 from 638300 in january against 594500 in february 1986 it said but unadjusted the number of jobless rose to 699800 or 91 pct of the workforce from 671400 or 89 pct in january and 658500 or 87 pct a year earlier reuter
